All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,DMSO_pct,Ethylene_Glycol_pct,Ethylene_Glycol_mM,Propylene_Glycol_pct,Glycerol_pct,Trehalose_mM,Sucrose_mM,Glucose_mM,Mannitol_mM,Raffinose_mM,FBS_pct,FCS_pct,Human_Serum_pct,HSA_pct,BSA_pct,Albumin_pct,PVP_pct,PEG_pct,HES_pct,Dextran_pct,Ficoll_pct,Taurine_mM,Ectoine_pct,Proline_pct,Isoleucine_mM,Creatine_mM,Methylcellulose_pct,ROCKi_uM,S1P_uM,Polyampholyte_mgml,COOH_PLL_pct,Sericin_pct,Betaine_pct,cooling_min_rate_C_per_min,cooling_max_rate_C_per_min,cooling_avg_rate_C_per_min,cooling_method,cooling_controlled,Viability_numeric,Recovery_numeric
"0.05 M glucose, 0.05 M sucrose,and 1.5 M ethylene glycol(cocktail solution)","0
",−1 ◦C/min from 25◦C to−80 ◦C,(84.0 ±1.0%,"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(4.7 ±0.9%) and late apoptotic cells(4.4 ±0.5%)",(37.8 ±1.9%),,,https://doi.org/10.3390/life13061286 ,,,,,,,,,,0.0,,1500.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.01,0.009000000000000001
1) STD10: 10% Me2SO (DMSO) + 4% human albumin (HA) in saline,10%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 95.2% ± 0.9,90%,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2","- ASCs isolated from adipose tissue (lipoaspirate) of five healthy donors via collagenase digestion, cultured in DMEM with 10% pooled human platelet lysate (pHPL).
- Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.- - Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).
- Statistical analysis: One-way ANOVA with Tukey’s test.","- STD10, CS10, and PIM2 showed higher viability than CS2; PIM1 and PIM2 had better recovery than CS2.
- All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).- Proliferation and migration were comparable across media, though CS10 reached confluency faster.
- T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.
- PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic,effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1).",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.6666666666666665,controlled_rate,1,0.9520000000000001,0.9
2) CS2: 2% Me2SO + Dextran-40 in saline (CryoStor),2%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 89.8% ± 0.9 ,78.9% ± 3.6 (p < 0.05 vs. PIM1/PIM2),"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.5 h","Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.","All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.6666666666666665,controlled_rate,1,0.898,0.789
3) CS10: 10% Me2SO + Dextran-40 in saline (CryoStor),10%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",  95.8% ± 0.6,82%,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 81.3 h (p < 0.01 vs. CS2 and PIM1)","Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).","Proliferation and migration were comparable across media, though CS10 reached confluency faster.",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.6666666666666665,controlled_rate,1,0.958,0.82
4) PIM1: 1% Me2SO + 10% pentaisomaltose + 4% HA in saline,1%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",not significantly different from STD10/CS10/PIM2,93.56% ± 5.2,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.4 h (p < 0.01 vs. CS10)",Statistical analysis: One-way ANOVA with Tukey’s test.,"T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.6666666666666665,controlled_rate,1,,0.9356
5) PIM2: 2% Me2SO + 10% pentaisomaltose + 4% HA in saline,2%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",95.7% ± 0.5,93.8% ± 6.0,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2",,"PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic, effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1)",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.6666666666666665,controlled_rate,1,0.9570000000000001,0.938
"10 %DMSO, glucose and high polymer anhydrous dextrose (STEM-CELLBANKERTM )(CB) + xeno-free serum culture medium",10%,−1 ◦C/min to−80 ◦C,"Ad-MSCs(90.4 ±4.5 %), BM-MSCs(85.6 ± 5.7 %)","Ad-MSCs(87.8 ± 15.4 %), BM-MSCs(56.7 ± 16.1 %)","Ad-MSCs(38.1 ± 13.6h), BM-MSCs (47.7 ± 11.4h)","Propidium Iodide (PI) testing  accompany with the assesment which allow only alive cells counted for culculating the result. b-Galactosidase staining,  flow cytometryfor and relative monoclonal FITC or PE conjugated
antibodies were utilized to evaluate the degree of cellular senescence and property of cells (markers) respectively.","The result show that CB enhanced the preservation of MSC viability, growth and mesodermal differentiation potential when compared to DMSO in MesencultÒ -XF. Furthermore, the CB cryopreservation medium was better for Ad-MSCs compared to BM-MSCs.",https://doi.org/10.1007/s10561-014-9463-8,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.045,0.154
2.5%DMSO+30mmol/Ltrehalose,2.50%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(94.18±3.97)%,(91.18±7.40)%,"Not mentioned , but can utilize Colony Forming Units (Pre- and Postcryopreservation) eaasy result as the analyze of proliferation and differentiation capacity of stem cells average CFU (36.14±2.06)
×10^5(fresh UCB) and (31.86±0.64)×10^5(after thawing)","three cryoprotectants were assessed to compare their ability on store the umbilical cord blood (UCB), detailed processing of UCB isolation and subsequent properties assesment such as Colony Forming Units, CD34+,Cell Apoptosis Analysis and so on.","The data showed that group C exhibited higher cell viability and CFUs and a lower apoptosis rate after thawing than either group A,B,or D",https://doi.org/10.1155/2016/1396783,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,10.2,controlled_rate,1,,
10%ethyleneglycol(EG)+ 2.0% DMSO ,2.00%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(92.35±5.26)%,(87.35±6.52),stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (27.78±0.58)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,10.2,controlled_rate,1,,
10% DMSO+ 2.0% dextran-40,10.00%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(89.43±5.12)%,(82.43±5.51)%,stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (22.25±0.52)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,1.0,21.0,10.2,controlled_rate,1,,
"7.5% DMSO, 5% Human albumin, autologous plasma in 0.9% NaCL",8%,"-2°C/min to 0°C, 5 min at 0°C, -1.89°C/min to -4°C, -4.69°C/min to -9°C, -60°C/min to -39°C, -23.66°C/min to -75.15°C, 0.9 min at -75.15°C, -18.47°C/min to -18.47°C, -1.33°C/min to -45°C, -4°C/min to -85°C, then stored in liquid nitrogen vapor (-156 to -145°C)",Pre-freeze: 98-100%,56.70%,Not reported ,"HSPCs collected via leukapheresis from 20 patients, mixed with DMSO (10%, 7.5%, 5%, or 2.5%), 5% human albumin, and autologous plasma, then frozen using a controlled-rate freezer and stored in liquid nitrogen vapor.","Clonogenic potential was highest at 7.5% DMSO (median 470 colonies per 10^5 cells, p=0.04 vs. 10% at 451), suggesting it may be as effective as 10% DMSO with potentially lower toxicity.",doi:  10.1111/j.1423-0410.2012.01657.x,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,60.0,14.504999999999999,controlled_rate,1,1.0,0.5670000000000001
"1% HAS, 3.5% DMSO, 2.5% HES",3.50%,Uncontrolled; storage at -80C,68.00%,79.6% for CD34+ cells,Not mentioned,"Fresh cryoprotectant soln was made using 7% DMSO, 2% HAS and 5% HES and stored at 4C. It was mixed (vol/vol) with AC at 4C and final concs were achieved. The final components were stored in freezing bags and vials. Freezing bags were kept horizontaly. Uncontrolled-rate freezing was utilised and stored at -80C. ","The transfusions were well tolerated  by the patients, and mortality related to the procedure was only 0.9% (1 of 109). The study shows that conventional controlled-rate freezing is not necessary for successful cryopreservation of PBPCs.",doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,passive_cooling,0,0.68,0.7959999999999999
"5% DMSO, 6% HES",5%,Uncontrolled; storage at -80C,82.25,96.7% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,passive_cooling,0,0.8225,0.9670000000000001
10% DMSO,10%,Uncontrolled; storage at -70C,98-100,62.9% for CFU-GM,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive_cooling,0,,0.629
"5% DMSO, 6% HES",5%,Uncontrolled; storage at -80C,>80%,86.6% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,passive_cooling,0,0.8,0.866
"5% DMSO, 6% HES",5%,Uncontrolled; storage at -70C,NR,100% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,passive_cooling,0,,1.0
10% DMSO,10%,Uncontrolled; storage at -80C,90%,86% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive_cooling,0,0.9,0.86
5% DMSO,5%,Uncontrolled; storage at -80C,84.70%,86% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive_cooling,0,0.847,0.86
5% DMSO,5%,Uncontrolled; storage at -80C,78%,91% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive_cooling,0,0.78,0.91
10%  DMSO solution was diluted with ADMEM supplemented with 10%  FBS,10%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):81.2±0.58%. (24h): around 73%,Not mentioned ,55.49±0.06 h close to the contorl (54.28±0.05 h),"trypan blue exclusion test utilized for the viability testing , Flow cytometry assay and Western blotting were used to confirm the pluripotency of WJMSCs , however, the result of cell counting before and after thawing haven't showed in the paper      ADMEM at room temperature and the solution was then stored at 4oC overnight to obtain a homogeneous preparation","This study compared six cryoprotectants and found that 10% DMSO + 10% FBS (Solution C) produced the best freezing results, with a high post-thaw cell survival rate (81.2%). However, removing FBS significantly reduced survival (for example, Solution D had only 6.8%), demonstrating the critical importance of FBS. Freezing increased cell apoptosis (especially Solution B, which had high BAX/p53 expression and poor survival), but did not affect stem cell appearance, markers, or differentiation ability (they could become fat cells or bone cells).",https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.0058,
"10%  PVP with an average molecular weight of 40,000 was prepared in ADMEM containing 10% FBS","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):62.87±0.35%. (24h): around 74%,Not mentioned ,55.13±0.03,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.0,,,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.0034999999999999996,
"ADMEM containing 10%  FBS by dissolving 0.05 M glucose, 0.05 M sucrose and 1.5 M ethylene glycol","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):around 70%. (24h): around 66%,Not mentioned ,55.79±0.12 h,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.0,,1500.0,,,,50.0,50.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.7,
10%PVP,"0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):around 6.8±0.23%. (24h): around 40%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.0023,
"ADMEM containing  0.05 M glucose, 0.05 M sucrose and 1.5 M ethylene glycol and 0% FBS","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):around 40%. (24h): around 50%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.0,,1500.0,,,,50.0,50.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.4,
10%  DMSO solution was diluted with ADMEM ,10%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,After thawing (0h):around 58%. (24h): around 58%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,10.0,4.1000000000000005,controlled_rate,1,0.58,
3.5% DMSO + 1% human serum albumin + 2.5% hydroxyethyl starch (HES) in saline,3.5% DMSO as a permeating cryoprotectant to prevent intracellular ice formation,"Uncontrolled-rate freezing: cryocyte bags placed horizontally in a -80°C mechanical freezer overnight, then stored at -80°C",,"Pre-freeze viability: 99% (range 22–100%). Post-thaw viability: 72% (range 11–96%). Recovery: NCs 72% (8.1–148.6%), CD34+ cells 98.6% (2–219%), CFU-GM 47.5% (0.3–85%), BFU-E 47.7% (1.7–282%)",Not reported; study focused on engraftment and hematopoietic reconstitution rather than proliferation rates,"PHPCs from 302 patients (342 autografts) cryopreserved at -80°C with 3.5% DMSO, 1% human serum albumin, and 2.5% HES using uncontrolled-rate freezing; post-thaw viability assessed via trypan blue and 7-AAD, CD34+ cells via ISHAGE guidelines, and clonogenic potential via CFU-GM assay.",Long-term hematopoietic reconstitution reached normal values at 12 months for 39% of patients (trilineage); 3.5% DMSO with uncontrolled-rate freezing at -80°C led to satisfactory engraftment and reduced infusion toxicity compared to standard 5–10% DMSO protocols.,10.1111/j.1537-2995.2012.03768.x,,,,,,,,,,0.035,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,passive_cooling,0,,0.99
10% HES450,0,Directly to the vapour phase at -134C,10% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,direct_plunge,0,0.1,
"1% DMSO, 9% HES450",1%,Directly to the vapour phase at -134C,17% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-50,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,direct_plunge,0,0.17,
"2% DMSO, 8% HES450",2%,Directly to the vapour phase at -134C,20% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-51,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,direct_plunge,0,0.2,
"3% DMSO, 7% HES450",3%,Directly to the vapour phase at -134C,22% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-52,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,direct_plunge,0,0.22,
"4% DMSO, 6% HES450",4%,Directly to the vapour phase at -134C,50% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-53,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,direct_plunge,0,0.5,
